Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Total System Load,Net Daily Intake,Care Load Growth Rate,Positive Net Intake,7-Day Rolling Avg Load,14-Day Rolling Avg Load,7-Day Rolling Std Dev Load,Sustained Positive Net Intake,High Load,Discharge Offset Ratio
2023-01-12,33.0,53.0,34.0,6566.0,436.0,6619.0,-402.0,,0,,,,0.0,1,12.823529411764707
2023-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0,,,,0.0,0,0.0
2023-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0,0.0
2023-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0,0.0
2023-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0,0.0
2023-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0,0.0
2023-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,945.5714285714286,,2501.7468468480747,0.0,0,0.0
2023-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,0.0,0,0.0
2023-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,0.0,0,0.0
2023-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,,0.0,0.0,0,0.0
2023-01-22,32.0,49.0,39.0,7122.0,227.0,7171.0,-188.0,inf,0,1024.4285714285713,,2710.383235949168,0.0,1,5.82051282051282
2023-01-23,32.0,50.0,39.0,7280.0,181.0,7330.0,-142.0,2.2172639799191263,0,2071.5714285714284,,3538.179468650644,0.0,1,4.641025641025641
2023-01-24,47.0,42.0,47.0,7433.0,175.0,7475.0,-128.0,1.9781718963165051,0,3139.4285714285716,,3916.539367738772,0.0,1,3.723404255319149
2023-01-25,20.0,22.0,41.0,7538.0,180.0,7560.0,-139.0,1.1371237458194017,0,4219.428571428572,2582.5,3948.7619096430244,0.0,1,4.390243902439025
2023-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0,4219.428571428572,2109.714285714286,3948.7619096430244,0.0,0,0.0
2023-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,4219.428571428572,2109.714285714286,3948.7619096430244,0.0,0,0.0
2023-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,4219.428571428572,2109.714285714286,3948.7619096430244,0.0,0,0.0
2023-01-29,23.0,45.0,11.0,7472.0,303.0,7517.0,-292.0,inf,0,4268.857142857143,2646.6428571428573,3993.7748404473787,0.0,1,27.545454545454547
2023-01-30,34.0,54.0,29.0,7743.0,196.0,7797.0,-167.0,3.7248902487694524,0,4335.571428571428,3203.5714285714284,4056.835090607081,0.0,1,6.758620689655173
2023-01-31,26.0,36.0,36.0,7803.0,158.0,7839.0,-122.0,0.538668718737978,0,4387.571428571428,3763.5,4105.819806776022,0.0,1,4.388888888888889
2023-02-01,25.0,32.0,27.0,7903.0,231.0,7935.0,-204.0,1.2246460007653948,0,4441.142857142857,4330.285714285715,4156.24820515536,0.0,1,8.555555555555555
2023-02-02,15.0,13.0,23.0,7879.0,298.0,7892.0,-275.0,-0.5419029615627013,0,5568.571428571428,4894.0,3806.428634872978,0.0,1,12.956521739130435
